probeset_id	gene_symbol
212727_at DLG3
212914_at CBX7
214821_at SLC25A4
217719_at EIF3L
203667_at TBCA
204740_at CNKSR1
213424_at KIAA0895
217511_at KAZALD1
211657_at CEACAM6
201749_at ECE1
202268_s_at NAE1
203745_at HCCS
209274_s_at ISCA1
210454_s_at KCNJ6
212427_at KIAA0368
217949_s_at VKORC1
218783_at INTS7
219481_at TTC13
221792_at RAB6B
201286_at SDC1
202750_s_at TFIP11
213786_at TAX1BP1
214769_at CLCN4
219232_s_at EGLN3
220050_at C9orf9
217623_at MYLK3
217733_s_at TMSB10
219785_s_at C16orf95
53720_at C19orf66
200040_at KHDRBS1
201845_s_at RYBP
205191_at RP2
205590_at RASGRP1
207048_at SLC6A11
208105_at GIPR
212326_at VPS13D
217349_s_at PRICKLE3
218412_s_at GTF2IRD1
219429_at FA2H
220136_s_at CRYBA2
202184_s_at NUP133
205783_at KLK13
209628_at NXT2
219157_at KLHL2
222028_at ZNF45
201859_at SRGN
213892_s_at APRT
219506_at C1orf54
201185_at HTRA1
203775_at SLC25A13
204495_s_at C15orf39
204928_s_at SLC10A3
208335_s_at DARC
212716_s_at EIF3K
213780_at TCHH
214265_at ITGA8
215103_at CYP2C18
218109_s_at MFSD1
218181_s_at MAP4K4
218875_s_at FBXO5
219739_at RNF186
219758_at TTC26
203868_s_at VCAM1
206568_at TNP1
55872_at ZNF512B
217853_at TNS3
219307_at PDSS2
1255_g_at GUCA1A
201269_s_at NUDCD3
202421_at IGSF3
205307_s_at KMO
207016_s_at ALDH1A2
211783_s_at MTA1
218747_s_at TAPBPL
221161_at ASCL3
201433_s_at PTDSS1
203097_s_at RAPGEF2
213791_at PENK
214614_at MNX1
204218_at ANAPC15
205493_s_at DPYSL4
37512_at HSD17B6
200055_at TAF10
203945_at ARG2
207403_at IRS4
219990_at E2F8
207426_s_at TNFSF4
209652_s_at PGF
214032_at ZAP70
207523_at C6orf10
203437_at TMEM11
203549_s_at LPL
209544_at RIPK2
212813_at JAM3
212894_at SUPV3L1
216194_s_at TBCB
219263_at RNF128
200019_s_at FAU
200625_s_at CAP1
204295_at SURF1
204619_s_at VCAN
214510_at GPR20
214864_s_at GRHPR
215244_at LOC100506454
206942_s_at PMCH
209262_s_at NR2F6
201178_at FBXO7
208034_s_at PROZ
209679_s_at SMAGP
220206_at ZMYM1
221062_at HS3ST3B1
206326_at GRP
216199_s_at MAP3K4
218377_s_at RWDD2B
219917_at ZCCHC4
207421_at CA5A
214735_at IPCEF1
222257_s_at ACE2
222273_at PAPOLG
201472_at VBP1
203566_s_at AGL
205231_s_at EPM2A
206212_at CPA2
206839_at C22orf31
220864_s_at NDUFA13
222258_s_at SH3BP4
205009_at TFF1
206595_at CST6
219454_at EGFL6
203190_at NDUFS8
209295_at TNFRSF10B
208799_at PSMB5
204787_at VSIG4
204159_at CDKN2C
201310_s_at NREP
202325_s_at ATP5J
202951_at STK38
203714_s_at TBCE
204232_at FCER1G
206912_at FOXE1
221741_s_at YTHDF1
200632_s_at NDRG1
207444_at SLC22A13
207590_s_at CENPI
213309_at PLCL2
216119_s_at SPEF1
217764_s_at RAB31
218315_s_at CDK5RAP1
220097_s_at TMEM104
220179_at DPEP3
205592_at SLC4A1
206739_at HOXC5
212663_at FKBP15
201505_at LAMB1
204434_at SPATA2
207307_at HTR2C
208138_at GAST
209536_s_at EHD4
213647_at DNA2
220059_at STAP1
201466_s_at JUN
205225_at ESR1
205504_at BTK
212087_s_at ERAL1
212942_s_at KIAA1199
219396_s_at NEIL1
201125_s_at ITGB5
207072_at IL18RAP
207861_at CCL22
201743_at CD14
201944_at HEXB
213486_at COPG2IT1
215142_at CXorf27
219798_s_at MEPCE
220895_at USP29
221016_s_at TCF7L1
202192_s_at GAS7
202360_at MAML1
203932_at HLA-DMB
207299_s_at GRM1
222095_s_at FAM163A
219947_at CLEC4A
206857_s_at FKBP1B
204500_s_at AGTPBP1
206772_at PTH2R
210254_at MS4A3
213394_at MAPKBP1
214779_s_at SGSM3
221702_s_at TM2D3
204359_at FLRT2
204469_at PTPRZ1
207185_at SLC10A1
214427_at NOP2
219085_s_at GEMIN7
207532_at CRYGD
208247_at ERC2-IT1
219636_s_at ARMC9
202831_at GPX2
203510_at MET
205234_at SLC16A4
214742_at AZI1
218611_at IER5
220358_at BATF3
221887_s_at DFNB31
201214_s_at PPP1R7
213556_at PINLYP
215596_s_at LTN1
219766_at B9D2
201326_at CCT6A
201204_s_at RRBP1
207183_at GPR19
207655_s_at BLNK
210731_s_at LGALS8
212930_at ATP2B1
218533_s_at UCKL1
221089_at NOX3
201908_at DVL3
210164_at GZMB
221096_s_at TMCO6
221218_s_at TPK1
213922_at TTBK2
213951_s_at PSMC3IP
217880_at CDC27
47069_at PRR5
203044_at CHSY1
203668_at MAN2C1
203955_at PPP1R26
217819_at GOLGA7
217846_at QARS
217898_at EMC7
220084_at C14orf105
203212_s_at MTMR2
204779_s_at HOXB7
204891_s_at LCK
206990_at TNR
207802_at CRISP3
207885_at S100G
209472_at CCBL2
213059_at CREB3L1
213680_at KRT6B
215455_at TIMELESS
219987_at ERVMER34-1
204690_at STX8
220698_at MGC4294
218385_at MRPS18A
220504_at KERA
201313_at ENO2
201542_at SAR1A
202727_s_at IFNGR1
202946_s_at BTBD3
203456_at PRAF2
205966_at TAF13
206149_at CHP2
209017_s_at LONP1
212710_at CAMSAP1
204824_at ENDOG
205030_at FABP7
205442_at MFAP3L
208402_at IL17A
212719_at PHLPP1
213280_at RAP1GAP2
220088_at C5AR1
40149_at SH2B1
200969_at SERP1
204264_at CPT2
206371_at FOLR3
221970_s_at NOL11
206335_at GALNS
217797_at UFC1
209674_at CRY1
221387_at NPFFR1
203940_s_at VASH1
204865_at CA3
207333_at NMBR
220723_s_at CWH43
206657_s_at MYOD1
209820_s_at TBL3
219760_at LIN7B
210044_s_at LYL1
220503_at SLC13A1
53968_at INTS5
