"standard_error_unadjusted"	"coefficient_unadjusted"	"fold_change_up_or_down_regulated_unadjusted"	"p_unadjusted"	"standard_error_adjusted"	"coefficient_adjusted"	"fold_change_up_or_down_regulated_adjusted"	"p_adjusted"
"200087_s_at"	0.0613486288606801	0.106052221276355	1.07627908218545	0.0890963966512096	0.0361158668084619	0.0189647919323405	1.01323217256165	0.601874991108508
"200088_x_at"	0.0646339231183661	0.217825181972311	1.16297910945418	0.00132959936945135	0.032722380154179	0.0879645596612194	1.06286956425278	0.00978759688623258
"200089_s_at"	0.0454538172592008	0.203346957787488	1.15136635336692	3.56246554506623e-05	0.0339212807647077	0.12234537316301	1.08850299204029	0.000725648381836368
"200090_at"	0.0862692153041258	0.123607755229824	1.08945586702516	0.157188573160692	0.0478927659300679	0.0249428590762502	1.01743939351116	0.604847310642062
"200091_s_at"	0.0795707025647363	0.0246035219979498	1.01720010918513	0.758256222811989	0.0527293703231853	-0.106724005454398	-1.07678036319172	0.0484407756525252
"200092_s_at"	0.0583866497603497	0.0803075051091356	1.05724336405771	0.174194118927535	0.0378332431194778	-0.0251334405455111	-1.0175738071586	0.509598744046346
"200093_s_at"	0.140836848277992	-0.104854118972353	-1.07538564516444	0.459524606888489	0.0376790186370009	0.00222286860141032	1.00154196270765	0.953196143267692
"200094_s_at"	0.0390389139636934	0.100458383035496	1.07211404790904	0.0126073835432025	0.0227396744346712	0.0618270141608539	1.04378676503482	0.00903367935743414
"200095_x_at"	0.0366369001318426	0.0579044969135764	1.0409526867347	0.119339878151222	0.027232889543779	-0.00849220748234318	-1.00590370827223	0.756487870778475
"200096_s_at"	0.109822479443779	0.118305622571599	1.08545929276964	0.285756188123497	0.0568597210044029	0.0711233168156105	1.05053433638464	0.216926926836353
"200097_s_at"	0.104147020067452	-0.159415721830091	-1.11683473871314	0.131193132344789	0.0321446860649243	-0.0385006505703361	-1.02704589400559	0.236783976907154
"200098_s_at"	0.0687746533259444	0.00310042726921836	1.00215136328844	0.964195016046557	0.0324999480720062	0.012026934235658	1.00837128039507	0.712932462640088
"200099_s_at"	0.070488612517253	-0.0526483709967168	-1.03716711633911	0.458086509584859	0.0412450653869244	-0.0553414939590049	-1.0391050361446	0.185854940661423
"200593_s_at"	0.107551346133141	-0.360682493224999	-1.28403318924613	0.00139807285343066	0.0412066364289104	-0.121526928174645	-1.08788565633048	0.00487188007998286
"200594_x_at"	0.107153585316009	-0.352033634909974	-1.27635852543201	0.00171727416301356	0.0383417874661459	-0.125137670160847	-1.09061180007665	0.00200775645879179
"200595_s_at"	0.0771355210350401	0.108332136707102	1.07798128892373	0.165430873711122	0.0371748267097111	0.031773173295074	1.02226779264539	0.396879154841834
"200596_s_at"	0.0765321976456451	-0.211707370868412	-1.15805788763235	0.00755958118316284	0.0411681242673824	-0.0768511342620466	-1.05471347992855	0.0679240516238858
"200597_at"	0.0899807577868466	0.108027882254652	1.07775397406126	0.234717518241266	0.0340123630171375	0.077022689655789	1.05483890667489	0.0279994012324464
"200598_s_at"	0.207353041217984	-0.574563643618064	-1.48922696460726	0.00746407836113581	0.069239559251994	-0.183885551001424	-1.1359391471589	0.0106462406748937
"200599_s_at"	0.0883099624778321	-0.0419676743202169	-1.02951701535012	0.636376661935772	0.0459854307255792	0.0211740082231667	1.01478493576916	0.64722997100894
"200600_at"	0.12560790418031	0.0424424972307074	1.02985590798117	0.736640381190198	0.0493793970640431	0.0149804633620321	1.01043776328285	0.762888661663257
"200601_at"	0.0920940974109135	-0.0853473173091643	-1.06094312421034	0.357836914567386	0.0416188016939654	-0.026043707429167	-1.0182160468462	0.534371255191837
"200602_at"	0.0937670213013545	-0.0467345077591707	-1.03292428609646	0.620047447322873	0.0346997638474309	-0.0535446974042265	-1.03781169408779	0.129244322795083
"200603_at"	0.0957757870558066	-0.082678749311056	-1.05898250054861	0.391494006606414	0.035759838973659	0.00502239152394471	1.00348732313575	0.888881942018341
"200604_s_at"	0.19461861724325	-0.494234456725803	-1.40857311978195	0.0137562337844542	0.0668918396300521	-0.150303550340331	-1.10980295566423	0.0291802635435231
"200605_s_at"	0.170826517808337	-0.412646256548953	-1.33112518628046	0.0188255198128239	0.0436544410402989	-0.131740645274725	-1.09561478898031	0.0040319459359717
"200607_s_at"	0.137303322082873	-0.447897003567073	-1.36405044954027	0.00184069615074658	0.0546986287128106	-0.161421941454723	-1.1183888955761	0.00484647042353387
"200608_s_at"	0.0678141206681406	0.0586988078687232	1.04152596643672	0.390224551438845	0.0351548271363713	0.0196781044416797	1.01373326937536	0.578196295196709
"200609_s_at"	0.0437871283342223	0.0802981146688232	1.05723648252827	0.0717243378390432	0.0262430884257689	0.0412856212693845	1.02903041267678	0.122108008081878
"200610_s_at"	0.089718581794623	-0.0630646484549071	-1.04468257497577	0.484872370019226	0.0787770454605964	-0.0223809338676816	-1.01563423681898	0.777527224724964
"200611_s_at"	0.0697837252511374	-0.0563222624112299	-1.03981167746213	0.42285216438369	0.0323981301516326	0.0394281285096581	1.0277063722349	0.229438001963967
"200612_s_at"	0.141694416427161	-0.351305985994261	-1.27571493361486	0.0160396975030082	0.0762503216835048	-0.060258263031871	-1.04265239381612	0.433178789075755
"200613_at"	0.167622241391023	-0.321605103105702	-1.24972018027081	0.0598733727172503	0.0293168815698001	-0.0660444390562341	-1.04684252716579	0.0287850275902277
"200614_at"	0.116783798812482	-0.158089323686939	-1.11580840486315	0.180997810620965	0.0283121333444487	-0.048160247726228	-1.03394557564319	0.0952730278333316
"200615_s_at"	0.0574289584510476	-0.139280700500316	-1.1013558644953	0.0183760831885855	0.0460397881620115	-0.0785105139354578	-1.05592730333829	0.094475895638396
"200616_s_at"	0.0805733366291098	-0.0796301708040867	-1.05674711287375	0.327044354363447	0.0475417090370265	-0.0161485476274781	-1.01125619985883	0.735555855317533
"200617_at"	0.0449489848790453	0.0179732264250387	1.01253601650439	0.690704847441532	0.027982273433358	-0.0147051904948072	-1.01024498548971	0.601593274835571
"200618_at"	0.0663817289196784	0.0169856600499729	1.01184314356377	0.798934647321644	0.0359101631435024	-0.0510196714550747	-1.03599688950261	0.161719585444948
"200619_at"	0.0499712821952987	-0.0128539161400548	-1.00894946485496	0.7978992467628	0.0338827636539213	-0.0436078530705873	-1.03068812366847	0.204133475037255
"200620_at"	0.0686514029206936	0.0203681510771751	1.01421825790793	0.767745526491251	0.0353653235099034	-0.00789883161212574	-1.00549006835461	0.824191951109896
"200621_at"	0.116140516089975	0.09569910584238	1.06858310006993	0.413261521966918	0.0442976686340005	0.0635047871767038	1.04500133631218	0.158039282195587
"200622_x_at"	0.13807672080935	-0.399386167925852	-1.3189466112808	0.00534530346392121	0.0553752418875366	-0.141532465106476	-1.10307620766152	0.0137444156887868
"200623_s_at"	0.158981911337446	-0.277393872477627	-1.21200350627907	0.0862242499346821	0.0629554896005554	-0.0812322396488865	-1.05792125011595	0.202998150579168
"200624_s_at"	0.106704892426941	-0.200967482492213	-1.14946893938083	0.0645785773710461	0.0348144464796114	-0.0382650166177312	-1.02687816131479	0.277089805060279
"200625_s_at"	0.065439270026968	-0.000285187822446826	-1.00019769667447	0.996537489877795	0.0328540174668904	-0.0299055032180028	-1.02094525142137	0.367144607990949
"200626_s_at"	0.0963388300360236	-0.0793481648788483	-1.05654056899953	0.413463216526318	0.0358349003673928	-0.0303488648637367	-1.02125905129861	0.401163901061451
"200627_at"	0.110447206145695	-0.191914045711196	-1.14227818905984	0.087497375974796	0.0492858500898995	-0.116800462907604	-1.08432742669233	0.021776675503355
"200628_s_at"	0.124260276337049	-0.327118225128373	-1.25450500375028	0.0108014190361517	0.0626516184794296	-0.166295567353255	-1.12217335852042	0.0106875185802409
"200629_at"	0.104763576912474	-0.0955680242156086	-1.06848601423824	0.365362386603326	0.0674436760090171	-0.0780468541782291	-1.05558799924546	0.252794592365683
"200630_x_at"	0.175999579196428	-0.366231433853422	-1.28898138936013	0.0417963774482971	0.0781718819631403	-0.0946395047241318	-1.06779855717378	0.231833407526431
"200631_s_at"	0.0970779959544865	-0.120175344455571	-1.08686695178106	0.220647193687799	0.0435097086529591	-0.114553083771765	-1.08263961485601	0.0112958250314651
"200632_s_at"	0.104959734977501	0.0906941056183082	1.06488239262417	0.391040769312053	0.0479268224141181	0.0278688259064159	1.01950498238022	0.56357782971199
"200633_at"	0.0364397705647708	-0.0372078847874527	-1.02612599405777	0.31138569174633	0.0151491779380879	-0.0336170631138476	-1.02357517514783	0.0311441120977193
"200634_at"	0.0800507583168015	-0.136251202321927	-1.09904556693076	0.0940082923416927	0.0594790143931696	-0.0738336501586208	-1.05250978815185	0.220390128151947
"200635_s_at"	0.0478278511545563	-0.080070389037062	-1.05706961369014	0.0993974615748971	0.0373124637615187	-0.00157087859997866	-1.00108944308503	0.966589557513957
"200636_s_at"	0.0690856671331032	0.00264466135620943	1.00183482079007	0.969592957939053	0.0428828681040984	-0.048451612270242	-1.03415441084066	0.264036118638357
"200637_s_at"	0.0858377489635758	-0.208903433217515	-1.15580933987547	0.0179925883553765	0.0366053454953307	-0.00337100767884845	-1.0023393364559	0.92700154424063
"200638_s_at"	0.185455191487115	-0.297340800920061	-1.2288772379287	0.114208438058492	0.0672900840675383	-0.0574575168531116	-1.04063022563855	0.397327869405556
"200639_s_at"	0.0823243601016706	-0.054882791665452	-1.03877470708375	0.507584722384398	0.0323495918177487	0.0090570384181517	1.00629760771238	0.780676155901644
"200640_at"	0.124465014612222	-0.22698364336798	-1.17038537209275	0.0732675743868358	0.0444589382051154	-0.035505533383746	-1.02491589991342	0.428368161687684
