"standard_error_unadjusted"	"coefficient_unadjusted"	"fold_change_up_or_down_regulated_unadjusted"	"p_unadjusted"	"standard_error_adjusted"	"coefficient_adjusted"	"fold_change_up_or_down_regulated_adjusted"	"p_adjusted"
"201086_x_at"	0.0898051202357621	-0.0988544585035833	-1.07092278125475	0.275469120074408	0.0342256141583512	-0.0733790132753885	-1.05217816270949	0.0370224655305156
"201087_at"	0.0645634521263181	0.120263579845522	1.0869334267181	0.0674826420365327	0.0328398389991571	0.0907006835064539	1.06488724790754	0.00806713677587882
"201092_at"	0.0940333980092863	0.0724800064583963	1.05152270840028	0.443907186675104	0.0428067402595269	0.11945430147048	1.08632388345061	0.00747740132528798
"201096_s_at"	0.150420615825461	-0.355625671543535	-1.27954037519225	0.0213792332442968	0.0514623876891687	-0.167200692188972	-1.12287761384407	0.00209518697582056
"201097_s_at"	0.0959065799819393	-0.0855363690755513	-1.06108216004825	0.37608471119109	0.0410072467381369	-0.100125166455362	-1.07186645232344	0.0182772742439936
"201104_x_at"	0.084336539833079	-0.0452591095172385	-1.03186848730462	0.593528073931013	0.0498364959103222	0.100453544686772	1.0721104523793	0.0493366087474152
"201111_at"	0.146483827179273	0.131919087987866	1.09575031073726	0.371477830830169	0.0387591170089698	0.0951715273284629	1.06819240182832	0.017665118100026
"201124_at"	0.0487067271777971	0.131657877995731	1.09555193546574	0.00895983248326158	0.0242173774482984	0.0569859801404911	1.04029015711403	0.0226754133007327
"201127_s_at"	0.0462827614937773	-0.0988702726104864	-1.07093452024303	0.0368202708053119	0.0333889980232894	-0.0767226791063267	-1.05461957418337	0.0258795638803722
"201138_s_at"	0.136584309803239	-0.340655258558409	-1.26633161932105	0.0154492138433542	0.074536047167773	-0.149839920191477	-1.10944636232551	0.0499204565072894
"201144_s_at"	0.0697245709317804	0.006093478373377	1.00423260965079	0.930654632376291	0.0313158119412245	-0.0667406279891223	-1.04734781486342	0.0381135146893545
"201146_at"	0.132728911853377	-0.048664606856667	-1.03430710114976	0.7151942808465	0.0520339078531656	-0.110959566341828	-1.07994629231972	0.0380067181448267
"201150_s_at"	0.132083838629424	0.316711869433107	1.24548864560959	0.0196763996031554	0.0595273325940912	0.216878977143312	1.16221660896866	0.000649099657455974
"201154_x_at"	0.0400129817173942	0.0918732448764654	1.06575309493379	0.0252404144083957	0.0354824743691718	0.0757507266541499	1.05390930982268	0.0377974399402421
"201157_s_at"	0.0863582431419864	-0.164254629914175	-1.12058697586843	0.062054593950483	0.043583916140322	-0.0921464656627578	-1.06595494873157	0.0396082023678805
"201177_s_at"	0.0661498513562574	0.161590022159361	1.11851920069186	0.0175873886710144	0.0494900100532037	0.115362550658535	1.08324723240084	0.023910224665162
"201180_s_at"	0.116440596863592	0.244161448151436	1.18440414794461	0.0403004109807777	0.0380262066580932	0.116934400989097	1.08442809902637	0.00343634545828802
"201183_s_at"	0.0502698278412301	-0.153342329484013	-1.11214302075208	0.00342096505732422	0.0382839221674961	-0.0832068222493099	-1.05937019326505	0.0346110171098858
"201185_at"	0.112409903100455	0.172164731322369	1.12674787666342	0.130970942863162	0.05604952372638	0.124788573677967	1.09034793094766	0.0306170636895392
"201192_s_at"	0.121826070510572	-0.239478915851628	-1.18056617806733	0.0540400198134856	0.0408950310934389	-0.112758731820317	-1.08129391886744	0.00816658541824547
"201217_x_at"	0.0369887282005107	-0.0354213897330738	-1.02485612452907	0.342158844161173	0.0299987330951297	-0.0641631704320638	-1.04547833829477	0.0374563805188766
"201219_at"	0.0528511075666233	0.171692975606721	1.12637949468527	0.00191614793811054	0.030178761352091	0.0759981382451345	1.05409006301811	0.0151094790770826
"201225_s_at"	0.060358205503826	-0.10346213563176	-1.07434856044316	0.0917533305375286	0.0316991709906999	-0.0729676668471545	-1.05187820463065	0.0256325422036649
"201228_s_at"	0.0467075584205441	0.071211885259958	1.05059883168362	0.132693479215056	0.0431111363742435	0.116096708109321	1.08379861463179	0.00966714024633894
"201238_s_at"	0.126893924161858	-0.187730436425784	-1.13897054384625	0.144345814993794	0.0562136785126492	-0.115188221221829	-1.08311634509236	0.0458252000065973
